Rk,School,City, State,From,To,Yrs,G,W,L,WL,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,Abilene, Texas,1971,2019,9,263,128,135,0.487,-11.9,-6.93,0,0,1,1,0,0
2,Air Force Falcons,USAF Academy, Colorado,1958,2019,61,1671,729,942,0.436,-2.67,1.31,0,1,0,4,0,0
3,Akron Zips,Akron, Ohio,1902,2019,68,1562,918,644,0.588,-0.43,-1.49,0,8,4,4,0,0
4,Alabama A&M Bulldogs,Normal, Alabama,2000,2019,20,580,224,356,0.386,-16.9,-11.43,0,1,1,1,0,0
5,Alabama Crimson Tide,Tuscaloosa, Alabama,1913,2019,106,2725,1677,1047,0.616,7.21,4.53,15,10,7,21,0,0
6,Alabama State Hornets,Montgomery, Alabama,1983,2019,37,1096,532,564,0.485,-12.87,-10.11,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,Birmingham, Alabama,1980,2019,40,1288,801,487,0.622,6.55,2.73,2,7,5,15,0,0
8,Albany (NY) Great Danes,Albany, New York,2000,2019,20,626,312,314,0.498,-6.65,-6.09,0,2,5,5,0,0
9,Alcorn State Braves,Alcorn State, Mississippi,1978,2019,42,1245,537,708,0.431,-13.54,-8.85,0,10,6,6,0,0
10,Allegheny Gators,Meadville, Pennsylvania,1896,1916,21,234,191,41,0.823,,,0,0,0,,,
11,American Eagles,Washington D.C., Washington D.C.,1967,2019,53,1503,739,764,0.492,-5.57,-3.74,0,7,3,3,0,0
12,Amherst Lord Jeffs,Amherst, Massachusetts,1901,1902,2,12,12,0,1,,,0,0,0,,,
13,Appalachian State Mountaineers,Boone North, Carolina,1974,2019,46,1352,657,695,0.486,-6.01,-3.37,0,10,2,2,0,0
14,Arizona State Sun Devils,Tempe, Arizona,1912,2019,104,2539,1348,1191,0.531,4.85,3.85,7,8,0,16,0,0
15,Arizona Wildcats,Tucson, Arizona,1905,2019,112,2722,1787,934,0.657,8.76,4.98,27,24,7,35,4,1
16,Arkansas Razorbacks,Fayetteville, Arkansas,1924,2019,96,2643,1688,955,0.639,7.44,3.03,16,26,7,32,6,1
17,Arkansas State Red Wolves,State University, Arkansas,1971,2019,49,1420,727,693,0.512,-3.59,-2.98,0,7,1,1,0,0
18,Arkansas-Pine Bluff Golden Lions,Pine Bluff, Arkansas,1999,2019,21,637,195,442,0.306,-19.45,-8.63,0,0,1,1,0,0
19,Armstrong Pirates,Savannah, Georgia,1987,1987,1,28,6,22,0.214,-21.6,-4.78,0,0,0,0,0,0
20,Army Black Knights,West Point, New York,1903,2019,117,2486,1235,1251,0.497,-9.24,-4.66,0,0,0,0,0,0
21,Auburn Tigers,Auburn, Alabama,1906,2019,113,2568,1364,1203,0.531,5.41,4.12,7,4,2,10,1,0
22,Augusta State Jaguars,Augusta, Georgia,1985,1991,7,197,64,133,0.325,-17.3,-8,0,0,0,0,0,0
23,Augustana (IL) Vikings,Rock Island, Illinois,1902,1917,12,116,81,35,0.698,,,0,0,0,,,
24,Austin Peay Governors,Clarksville, Tennessee,1964,2019,56,1607,803,804,0.5,-5.54,-3.37,1,8,5,7,0,0
25,Baker University Wildcats,Baldwin City, Kansas,1903,1908,6,90,62,28,0.689,,,0,0,0,,,
26,Baldwin-Wallace Yellow Jackets,Berea, Ohio,1948,1953,6,139,82,57,0.59,-4.45,1.84,0,0,0,0,0,0
27,Ball State Cardinals,Muncie, Indiana,1972,2019,48,1412,750,662,0.531,-0.93,-0.68,1,10,7,7,0,0
28,Baltimore Super Bees,Baltimore, Maryland,1979,1983,5,133,46,87,0.346,-13.76,-6.45,0,0,0,0,0,0
29,Baylor Bears,Waco, Texas,1907,2019,113,2724,1351,1373,0.496,1.36,2.48,6,5,0,12,2,0
30,Belmont Bruins,Nashville, Tennessee,2000,2019,20,635,415,220,0.654,1.06,-3.32,0,11,7,8,0,0
31,Beloit Buccaneers,Beloit, Wisconsin,1911,1924,8,95,66,28,0.702,,,0,0,0,,,
32,Bethune-Cookman Wildcats,Daytona Beach, Florida,1981,2019,39,1155,417,738,0.361,-16.81,-10,0,2,0,0,0,0
33,Binghamton Bearcats,Binghamton, New York,2002,2019,18,545,195,350,0.358,-11,-5.55,0,1,1,1,0,0
34,Birmingham-Southern Panthers,Birmingham, Alabama,1920,2006,5,105,65,40,0.619,-5.44,-8.71,0,1,0,0,0,0
35,Bloomsburg Huskies,Bloomsburg, Pennsylvania,1896,1911,15,143,88,55,0.615,,,0,0,0,,,
36,Boise State Broncos,Boise, Idaho,1972,2019,48,1413,783,630,0.554,0.08,-0.69,0,6,5,7,0,0
37,Boston College Eagles,Chestnut Hill, Massachusetts,1946,2019,74,2082,1143,939,0.549,3.15,3.09,8,6,2,18,0,0
38,Boston University Terriers,Boston, Massachusetts,1916,2019,93,2131,1092,1039,0.512,-6.84,-5.48,0,8,6,7,0,0
39,Bowling Green State Falcons,Bowling Green, Ohio,1916,2019,104,2572,1387,1185,0.539,-0.46,0.08,2,9,0,4,0,0
40,Bradley Braves,Peoria, Illinois,1903,2019,115,2871,1669,1202,0.581,4.68,3,12,7,3,9,2,0
41,Brigham Young College,Logan, Utah,1908,1908,1,11,10,1,0.909,,,0,0,0,,,
42,Brigham Young Cougars,Provo, Utah,1903,2019,117,2924,1829,1095,0.626,7.56,3.54,10,25,3,29,0,0
43,Brooklyn Bulldogs,Brooklyn, New York,1934,1992,25,567,233,334,0.411,-19.21,-9.62,0,0,0,0,0,0
44,Brown Bears,Providence, Rhode Island,1901,2019,113,2574,1045,1529,0.406,-10.95,-4.61,0,1,0,2,0,0
45,Bryant Bulldogs,Smithfield, Rhode Island,2011,2019,9,278,97,181,0.349,-11.74,-5.24,0,0,0,0,0,0
46,Bucknell Bison,Lewisburg, Pennsylvania,1896,2019,124,2678,1449,1229,0.541,-8.25,-6.88,0,18,8,8,0,0
47,Buffalo Bulls,Buffalo, New York,1907,2019,50,1205,613,592,0.509,-5.14,-2.41,1,5,4,4,0,0
48,Butler Bulldogs,Indianapolis, Indiana,1897,2019,121,2742,1597,1145,0.582,1.67,3.05,7,13,7,16,2,0
49,Cal Poly Mustangs,San Luis Obispo, California,1995,2019,25,735,296,439,0.403,-6.63,-1.81,0,1,1,1,0,0
50,Cal State Bakersfield Roadrunners,Bakersfield, California,2011,2019,9,286,145,141,0.507,-4.69,-3.17,0,1,1,1,0,0
51,Cal State Fullerton Titans,Fullerton, California,1975,2019,45,1313,624,689,0.475,-1.83,-0.27,0,2,3,3,0,0
52,Cal State Los Angeles Golden Eagles,Los Angeles, California,1971,1975,5,130,70,60,0.538,-1.89,1.34,0,0,0,1,0,0
53,Cal State Northridge Matadors,Northridge, California,1991,2019,29,865,369,496,0.427,-5.29,-1.89,0,3,2,2,0,0
54,California Baptist,Riverside, California,2019,2019,1,31,16,15,0.516,-3.89,-4.12,0,0,0,0,0,0
55,Campbell Fighting Camels,Buies Creek, North Carolina,1978,2019,42,1213,503,710,0.415,-12.68,-7.1,0,2,1,1,0,0
56,Canisius Golden Griffins,Buffalo, New York,1904,2019,115,2574,1307,1267,0.508,-3.65,-1.65,1,8,1,4,0,0
57,Carleton College Knights,Northfield, Minnesota,1910,1934,25,360,280,80,0.778,,,0,0,0,,,
58,Carnegie Mellon Tartans,Pittsburgh, Pennsylvania,1933,1939,7,87,40,47,0.46,,,0,2,0,0,0,0
59,Case Western Reserve Spartans,Cleveland, Ohio,1898,1955,13,245,95,150,0.388,-18.31,-2.68,0,0,0,0,0,0
60,Catholic Cardinals,Washington D.C., Washington D.C.,1913,1981,13,248,122,126,0.492,-15.98,-6.69,0,0,0,1,0,0
61,Centenary (LA) Gents,Shreveport, Louisiana,1960,2011,52,1435,637,798,0.444,-8.73,-3.96,1,1,1,0,0,0
62,Central Arkansas Bears,Conway, Arkansas,2011,2019,9,274,83,191,0.303,-14.64,-5.46,0,0,0,0,0,0
63,Central Connecticut State Blue Devils,New Britain, Connecticut,1987,2019,33,961,391,570,0.407,-12.49,-7.74,0,3,3,3,0,0
64,Central Florida Knights,Orlando, Florida,1985,2019,35,1049,527,522,0.502,-4.28,-2.8,0,1,4,5,0,0
65,Central Michigan Chippewas,Mount Pleasant, Michigan,1974,2019,46,1325,588,737,0.444,-3.86,-0.38,0,8,2,4,0,0
66,Central Missouri Mules,Warrensburg, Missouri,1913,1937,10,178,140,38,0.787,,,0,0,0,,,
67,Central Normal College,Danville, Indiana,1931,1931,1,19,19,0,1,,,0,0,0,,,
68,Central Pennsylvania College Knights,Summerdale, Pennsylvania,1896,1900,4,6,2,4,0.333,,,0,0,0,,,
